audit_id,audit_channel,comment_text,platform,gendered_harm_proba,harm_role,annotator_a_perpetrator,annotator_a_role,annotator_a_notes,annotator_b_spotcheck,annotator_b_perpetrator,final_perpetrator,is_spotcheck
BRE_00,Breaking Down Patriarchy," @pamelamceachern9537  I totally agree with you. I’m a stay at home mother and wouldn’t have it any other way. It’s a luxury for our family that I can stay home. I know my family has much better mental health because I’m not trying to do it all. I also have confidence that if I needed to divorce, I’d be monetarily compensated enough for me to figure out my life. The legal divorce laws are critical for women’s sense of freedom and justice.",YouTube,0.5237,perpetrator_attack,,,,,,,False
BRE_01,Breaking Down Patriarchy,"​ @Gladissims Disrespecting other women, if indeed you are a woman, is not productive either. We've been disrespected enough, certainly by men & by some women. Please be kind.",YouTube,0.778,perpetrator_attack,,,,,,,False
BRE_02,Breaking Down Patriarchy,Oh please….if your 5 years old son asked for a Barbie you’d rush him to a shrink as fast as you could!,YouTube,0.4025,perpetrator_attack,,,,,,,False
BRE_03,Breaking Down Patriarchy,And even if you have a 'good' husband. What are you going to do if he dies or gets a chronic illness and he cannot make money anymore?,YouTube,0.4204,perpetrator_attack,,,,,,,False
BRE_04,Breaking Down Patriarchy,"Thank you for this message. It's my only problem with ""traditional"" culture: that rich women with enormous savings, or middle-class women who haven't been screwed over yet, convince other women to throw their life into the hands of an outside ""provider"" who can cheat on, abuse, or trade them in for a younger bride overnight.

I think most parents would choose to stay home with their children if they didn't need to work, but most people DO need to work for income and at least in the US there are zero supports for homemakers. We turn homemakers over to the whims of their spouses (instead of pay them a standard-rate homemaker salary or something) and then blame or turn a blind eye if their marriage fails. I wish my mother hadn't tried this- it cost her happiness and she's been out of the work force for so long (she's 65 now) that she feels like she can't leave. I dread the day my father retires, because he has no interest in domestic work and my mom only ever works overtime when he's on vacation.",YouTube,0.7026,perpetrator_attack,,,,,,,False
BRE_05,Breaking Down Patriarchy, @ejmt785  Dangerous because it leaves women helpless without a man to take care of them.,YouTube,0.6182,perpetrator_attack,,,,,,,True
BRE_06,Breaking Down Patriarchy,The reality of corporations exploiting women’s insecurities is the rawest and the least challenged. Thank you for your clear and concise content !,YouTube,0.4974,perpetrator_attack,,,,,,,True
BRE_07,Breaking Down Patriarchy,"@benjaminollis  interesting after all that time this is when you decide to reply to me, addressing none of the things I said in my comment. I hope she is able to leave that hellish relationship soon.",YouTube,0.147,perpetrator_attack,,,,,,,False
BRE_08,Breaking Down Patriarchy,"I think with these content creators the point is to create something a little entertaining and also controversial. It sets the stage for arguments and division. Us vs them. We've discovered the right lifestyle and you're all wrong. This gets attention and likes. Starts a fight where there is none. Rage bait, I guess they call it.  It's a marketing plan to get money from your pocket into theirs. These trad wives are not trad wives. They are working. It's a career.",YouTube,0.5649,perpetrator_attack,,,,,,,False
BRE_09,Breaking Down Patriarchy,"It is very possible to enjoy skills like gardening and cooking and crafting, and make that your life. Because it's something you enjoy and you love getting better at it. As long as you don't do it to sacrifice yourself. That is not ok.",YouTube,0.3696,perpetrator_attack,,,,,,,False
