channel,message_id,date,text,views,forwards,replies,length
AlJazeeraEnglish,13346,2026-02-25 14:40:29+00:00,"'Phoenix of Gaza': Palestinian filmmaker captures Gaza’s life before Israel's genocide
@aljazeeraenglish",12599.0,17.0,0,104
AlJazeeraEnglish,13337,2026-01-16 16:57:12+00:00,"Remembering 2022: Iran’s Gen Z army and hashtag wars | The Take
@aljazeeraenglish",14561.0,14.0,0,81
AlJazeeraEnglish,13331,2025-11-25 19:15:00+00:00,"Did the UN just outsource Israel’s occupation? | The Take
@aljazeeraenglish",16467.0,8.0,0,75
AlJazeeraEnglish,13328,2025-11-15 08:05:53+00:00,"Jeffrey Epstein files: US House to vote on release of controversial files
@aljazeeraenglish",14754.0,12.0,0,91
AlJazeeraEnglish,13326,2025-11-08 14:28:32+00:00,"Gaza Health Crisis: Medicine Shortages & Hospital Damage
@aljazeeraenglish",13347.0,5.0,0,74
AlJazeeraEnglish,13229,2025-05-31 18:22:27+00:00,"Hamas statement includes three ‘unequivocal’ demands
@aljazeeraenglish",36812.0,30.0,0,70
AlJazeeraEnglish,13205,2025-05-09 18:07:41+00:00,"US air traffic control upgrade: Plan to revamp ageing system after series of mishaps
@aljazeeraenglish",36080.0,15.0,0,102
AlJazeeraEnglish,13204,2025-05-09 18:07:32+00:00,"What might follow from Pope Leo XIV's election? | Inside Story
@aljazeeraenglish",30753.0,4.0,0,80
AlJazeeraEnglish,13203,2025-05-09 18:06:08+00:00,"Russian Victory Day celebrations: No other World War II allies present in Moscow
@aljazeeraenglish",23398.0,5.0,0,98
AlJazeeraEnglish,13202,2025-05-09 18:05:59+00:00,"India-Pakistan Tensions Rise Amid Nuclear Fears
@aljazeeraenglish",19108.0,4.0,0,65
AlJazeeraEnglish,13201,2025-05-09 18:05:47+00:00,"Can India and Pakistan avoid a fourth war over Kashmir? | The Take
@aljazeeraenglish",16689.0,3.0,0,84
AlJazeeraEnglish,13200,2025-05-09 18:05:23+00:00,"A new pope for world's 1.4B Catholics: Americans react to first pontiff from the US
@aljazeeraenglish",17660.0,3.0,0,101
AlJazeeraEnglish,13199,2025-05-09 18:05:17+00:00,"Explosion in Rafah: 2 Israeli Soldiers Killed Amid Intense Clashes with Hamas
@aljazeeraenglish",16917.0,4.0,0,95
