source_layer,source_id,comment_count,reply_count,keyword_hits,avg_keyword_score,hotspot_score
search,-mvIktYig9Y|Turning Point USA,400,0,4,0.01,0.01
search,0H-mXMIqw9A|TV5 News ,1,0,0,0.0,0.0
search,0rZbVxcIlp8|ComingSoon.net,2,0,0,0.0,0.0
search,37cXe2XzSus|Sky News,104,0,0,0.0,0.0
search,72_vKNULbms|Catfished,400,0,1,0.0025,0.0025
search,7Wl-Zgy1EKM|Don't Tell Comedy,400,0,4,0.01,0.01
search,8zHfHEEtaUk|Breaking Down Patriarchy,400,0,4,0.01,0.01
search,9yMFw_vWboE|HuffPost,400,0,8,0.02,0.02
search,BiSFY3APYss|Brut India,400,0,16,0.04,0.04
search,C8tpVKbxKfk|Dr. Daf Show,400,0,4,0.01,0.01
search,CwvuyLuMQOA|Jason Schroeder,43,0,4,0.09302325581395349,0.09302325581395349
search,HfwQvfchMXU|The Guardian,400,0,3,0.0075,0.0075
search,II-OP6vdMs8|Samantha Bee,400,0,4,0.01,0.01
search,IshrD4mjnNU|TEDx Talks,347,0,16,0.04610951008645533,0.04610951008645533
search,LhjsRjC6B8U|TEDx Talks,21,0,0,0.0,0.0
search,PU3x29_Cxls|Catfished,400,0,2,0.005,0.005
search,SBoT9mmtTO8|Simple Misfits,400,0,10,0.03,0.025
search,YWeKsNPdhMw|SBS The Feed,400,0,5,0.0125,0.0125
search,fXuZ-3Qw3mY|theDonWEBB,2,0,0,0.0,0.0
search,gIHUdvYpBMQ|Jarvis Johnson! GOLD,400,0,2,0.005,0.005
search,h9Lf3-vJn4E|Pop Trigger,400,0,28,0.0775,0.07
search,iz3HRqg6Q4A|Economics Explained,400,0,6,0.015,0.015
search,oWEKD493IxY|Cosmopolitan,400,0,4,0.01,0.01
search,pZBpdZbSYSg|BBC Trending,400,0,21,0.0575,0.0525
search,tOM9dwQmeks|Good Morning Britain,22,0,0,0.0,0.0
search,u-VcErKk6Qs|Guardian News,400,0,0,0.0,0.0
search,u9aiG33ZGa4|Steve Shives,201,0,4,0.01990049751243781,0.01990049751243781
search,uzw8XOp6_zU|Counterpoint,400,0,18,0.045,0.045
search,yqcJbDJTa7g|Nate The Lawyer,400,0,14,0.035,0.035
search,zT6fSr_YGjo|Feminism Sucks,1,0,0,0.0,0.0
